sex,age,race,priors_count,c_charge_degree,two_year_recid
Male,34,African-American,0,F,1
Male,24,African-American,4,F,1
Male,41,Caucasian,14,F,1
Female,39,Caucasian,0,M,0
Male,27,Caucasian,0,F,0
Male,23,African-American,3,M,1
Female,37,Caucasian,0,M,0
Male,41,African-American,0,F,0
Female,47,Caucasian,1,F,1
Male,31,African-American,7,F,1
Male,25,African-American,3,F,0
Male,31,Caucasian,6,F,1
Male,31,Caucasian,5,F,1
Male,64,African-American,13,F,1
Male,21,African-American,1,F,1
Male,27,Caucasian,0,M,1
Female,21,Caucasian,0,F,0
Male,43,Caucasian,1,M,0
Male,27,African-American,8,F,1
Male,26,African-American,5,F,1
Male,33,African-American,0,F,1
Male,30,Caucasian,9,F,1
Male,32,African-American,4,F,1
Male,55,Caucasian,0,F,0
Female,33,Caucasian,4,M,1
Male,24,Caucasian,1,M,1
Male,34,African-American,21,F,1
Male,29,Caucasian,0,M,0
Female,21,African-American,2,F,0
Male,51,African-American,2,M,0
Male,29,Caucasian,2,M,1
Female,51,African-American,7,F,0
Male,29,African-American,0,F,1
Male,25,Caucasian,9,M,1
Male,35,African-American,13,F,1
Male,49,Caucasian,0,M,0
Male,29,African-American,0,F,0
Male,29,Caucasian,1,F,1
Male,31,African-American,15,F,0
Male,24,African-American,2,F,1
Male,49,African-American,4,M,0
Male,53,Caucasian,8,F,0
Male,35,African-American,5,F,0
Male,27,African-American,15,F,1
Male,38,Caucasian,4,M,1
Male,22,African-American,1,F,1
Male,29,African-American,4,F,1
Male,27,African-American,6,F,1
Female,56,African-American,0,M,0
Male,39,African-American,1,M,0
Male,29,African-American,5,F,1
Male,27,Caucasian,1,F,1
Male,40,African-American,2,F,0
Male,22,African-American,1,M,1
Male,22,Caucasian,0,F,0
Female,26,African-American,1,F,1
Male,32,African-American,0,F,0
Male,41,African-American,1,M,0
Male,30,African-American,8,M,1
Male,25,African-American,14,F,1
Male,22,African-American,2,F,1
Female,35,African-American,1,M,0
